2021-04-29 08:34:51,890 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 93 |k_down_up = 19 |start=1.00000000 |end=|1.00602179|percent = 0.602%
2021-04-29 08:35:22,395 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 94 |k_down_up = 19 |start=1.00000000 |end=|1.00419735|percent = 0.420%
2021-04-29 08:35:52,756 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 95 |k_down_up = 19 |start=1.00000000 |end=|1.00107075|percent = 0.107%
2021-04-29 08:36:23,022 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 96 |k_down_up = 19 |start=1.00000000 |end=|1.00100642|percent = 0.101%
2021-04-29 08:36:53,284 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 97 |k_down_up = 19 |start=1.00000000 |end=|1.00094365|percent = 0.094%
2021-04-29 08:37:23,534 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 98 |k_down_up = 19 |start=1.00000000 |end=|1.00033666|percent = 0.034%
2021-04-29 08:37:53,626 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 99 |k_down_up = 19 |start=1.00000000 |end=|1.00030943|percent = 0.031%
2021-04-29 08:38:23,679 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 100 |k_down_up = 19 |start=1.00000000 |end=|1.00010503|percent = 0.011%
2021-04-29 08:38:53,587 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 101 |k_down_up = 19 |start=1.00000000 |end=|1.00000589|percent = 0.001%
2021-04-29 08:39:23,669 - [ERROR] - (run_bot.py).<module>(136) - |k_price_estimated = 0 |time_start_order = 102 |k_down_up = 19 |start=1.00000000 |end=|0.99999683|percent = -0.000%
2021-04-29 08:39:53,585 - [ERROR] - (run_bot.py).<module>(136) - |k_price_estimated = 0 |time_start_order = 103 |k_down_up = 19 |start=1.00000000 |end=|0.99999676|percent = -0.000%
2021-04-29 08:40:23,283 - [ERROR] - (run_bot.py).<module>(136) - |k_price_estimated = 0 |time_start_order = 104 |k_down_up = 19 |start=1.00000000 |end=|0.99999748|percent = -0.000%
2021-04-29 08:40:53,127 - [ERROR] - (run_bot.py).<module>(136) - |k_price_estimated = 0 |time_start_order = 105 |k_down_up = 19 |start=1.00000000 |end=|0.99999753|percent = -0.000%
2021-04-29 08:41:22,933 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 106 |k_down_up = 19 |start=1.00000000 |end=|1.00010149|percent = 0.010%
2021-04-29 08:41:52,673 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 107 |k_down_up = 19 |start=1.00000000 |end=|1.00018751|percent = 0.019%
2021-04-29 08:42:22,302 - [ERROR] - (run_bot.py).<module>(136) - |k_price_estimated = 0 |time_start_order = 108 |k_down_up = 19 |start=1.00000000 |end=|0.99994606|percent = -0.005%
2021-04-29 08:42:51,945 - [ERROR] - (run_bot.py).<module>(136) - |k_price_estimated = 0 |time_start_order = 109 |k_down_up = 19 |start=1.00000000 |end=|0.99994606|percent = -0.005%
2021-04-29 08:43:21,486 - [ERROR] - (run_bot.py).<module>(136) - |k_price_estimated = 0 |time_start_order = 110 |k_down_up = 19 |start=1.00000000 |end=|0.99994610|percent = -0.005%
2021-04-29 08:43:51,176 - [ERROR] - (run_bot.py).<module>(136) - |k_price_estimated = 0 |time_start_order = 111 |k_down_up = 19 |start=1.00000000 |end=|0.99994664|percent = -0.005%
2021-04-29 08:44:20,946 - [ERROR] - (run_bot.py).<module>(136) - |k_price_estimated = 0 |time_start_order = 112 |k_down_up = 19 |start=1.00000000 |end=|0.99994664|percent = -0.005%
2021-04-29 08:44:50,506 - [ERROR] - (run_bot.py).<module>(136) - |k_price_estimated = 0 |time_start_order = 113 |k_down_up = 19 |start=1.00000000 |end=|0.99994664|percent = -0.005%
2021-04-29 08:45:20,033 - [ERROR] - (run_bot.py).<module>(136) - |k_price_estimated = 0 |time_start_order = 114 |k_down_up = 19 |start=1.00000000 |end=|0.99994306|percent = -0.006%
2021-04-29 08:45:49,494 - [ERROR] - (run_bot.py).<module>(136) - |k_price_estimated = 0 |time_start_order = 115 |k_down_up = 19 |start=1.00000000 |end=|0.99993604|percent = -0.006%
2021-04-29 08:46:19,043 - [ERROR] - (run_bot.py).<module>(136) - |k_price_estimated = 0 |time_start_order = 116 |k_down_up = 19 |start=1.00000000 |end=|0.99990124|percent = -0.010%
2021-04-29 08:46:48,697 - [ERROR] - (run_bot.py).<module>(136) - |k_price_estimated = 0 |time_start_order = 117 |k_down_up = 19 |start=1.00000000 |end=|0.99989160|percent = -0.011%
2021-04-29 08:47:18,208 - [ERROR] - (run_bot.py).<module>(136) - |k_price_estimated = 0 |time_start_order = 118 |k_down_up = 19 |start=1.00000000 |end=|0.99989242|percent = -0.011%
2021-04-29 08:47:47,733 - [ERROR] - (run_bot.py).<module>(136) - |k_price_estimated = 0 |time_start_order = 119 |k_down_up = 19 |start=1.00000000 |end=|0.99989102|percent = -0.011%
2021-04-29 08:48:21,744 - [ERROR] - (run_bot.py).<module>(136) - |k_price_estimated = 1 |time_start_order = 3 |k_down_up = 19 |start=1.00000000 |end=|0.98731080|percent = -1.269%
2021-04-29 08:48:55,817 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 4 |k_down_up = 19 |start=1.00000000 |end=|1.02154084|percent = 2.154%
